# Echo 22 focal plane parameters from Figure 7 of DESI-0329v3.							
# The plate scale varies with radius, and is different in the							
# meridional (radial) direction vs. the							
# sagittal (tangential/azimuthal) direction.  The table below						
# contains the F/#, Focal Length, and Plate Scale vs. radius for							
# both the meridional and sagittal orientations at that radius.							
							
# Columns:							
# - Radius : radius from center of focal plane [mm]							
# - Theta radial angle that has a centroid at this radius [deg]							
# - MF/# : Meridional F/#							
# - SF/# : Sagittal F/#							
# - MFL  : Meridional focal length [m]							
# - SFL  : Sagittal focal length [m]							
# - MPS  : Meridional plate scale [um/arcsec]							
# - SPS  : Sagittal plate scale [um/arcsec]							
# Radius	Theta	MF/#	SF/#	MFL	SFL	MPS	SPS
64	0.263044196	3.691618515	3.682931538	13.97267087	13.94031157	67.74141999	67.5845377
65	0.267144597	3.692025042	3.683064321	13.97418888	13.9408179	67.7487795	67.58699245
66	0.271244549	3.692437866	3.683199147	13.97573031	13.94133283	67.75625256	67.5894889
67	0.275344046	3.692856985	3.683336016	13.97729514	13.94185546	67.7638391	67.59202265
68	0.279443081	3.693282401	3.683474927	13.97888336	13.94238487	67.77153901	67.59458934
69	0.283541649	3.693714111	3.683615878	13.98049495	13.94292018	67.77935219	67.59718458
70	0.287639743	3.694152117	3.68375887	13.98212987	13.94346047	67.78727854	67.59980399
71	0.291737356	3.694596416	3.683903902	13.98378813	13.94400485	67.79531797	67.60244319
72	0.295834483	3.69504701	3.684050973	13.98546968	13.9445524	67.80347039	67.60509779
73	0.299931118	3.695503899	3.684200082	13.98717453	13.94510238	67.8117357	67.60776421
74	0.304027252	3.69596708	3.684351228	13.98890266	13.94565568	67.82011393	67.61044667
75	0.308122879	3.696436555	3.684504411	13.9906541	13.94621408	67.82860518	67.61315384
76	0.312217992	3.696912322	3.684659631	13.99242888	13.94677936	67.83720952	67.61589439
77	0.316312583	3.697394381	3.684816885	13.994227	13.94735332	67.84592705	67.61867704
78	0.320406644	3.697882732	3.684976174	13.99604848	13.94793776	67.85475786	67.62151047
79	0.324500168	3.698377375	3.685137496	13.99789335	13.94853446	67.86370204	67.62440339
80	0.328593147	3.698878308	3.685300851	13.99976162	13.94914523	67.87275968	67.62736449
81	0.332685575	3.699385532	3.685466237	14.00165331	13.9497717	67.88193085	67.63040168
82	0.336777445	3.699899046	3.685633655	14.00356841	13.95041352	67.89121552	67.63351332
83	0.34086875	3.700418849	3.685803103	14.0055069	13.95106906	67.90061356	67.63669145
84	0.344959484	3.700944942	3.685974581	14.00746875	13.95173664	67.91012486	67.63992797
85	0.349049642	3.701477323	3.686148087	14.00945393	13.9524146	67.91974928	67.64321481
86	0.353139216	3.702015992	3.686323622	14.01146241	13.95310127	67.9294867	67.64654388
87	0.357228202	3.702560949	3.686501184	14.01349419	13.95379498	67.93933701	67.6499071
88	0.361316593	3.703112193	3.686680771	14.01554922	13.95449407	67.94930008	67.65329639
89	0.365404382	3.703669723	3.686862383	14.01762748	13.95519694	67.95937579	67.65670398
90	0.369491564	3.704233539	3.68704602	14.01972897	13.955903	67.96956408	67.66012708
91	0.373578132	3.704803641	3.687231681	14.02185367	13.9566125	67.97986494	67.66356681
92	0.377664079	3.705380029	3.687419364	14.02400159	13.95732569	67.99027835	67.66702445
93	0.381749399	3.7059627	3.687609068	14.02617273	13.95804283	68.00080432	67.67050123
94	0.385834085	3.706551654	3.687800794	14.02836708	13.95876417	68.01144282	67.67399842
95	0.389918131	3.707146892	3.687994539	14.03058464	13.95948999	68.02219386	67.67751726
96	0.39400153	3.707748413	3.688190303	14.0328254	13.96022052	68.03305741	67.68105902
97	0.398084276	3.708356215	3.688388085	14.03508938	13.96095606	68.04403347	67.68462501
98	0.402166362	3.708970299	3.688587883	14.03737656	13.96169727	68.05512202	67.68821846
99	0.406247782	3.709590664	3.688789699	14.03968694	13.96244516	68.06632306	67.69184437
100	0.410328527	3.710217309	3.688993529	14.04202052	13.96320081	68.07763656	67.69550783
101	0.414408591	3.710850233	3.689199374	14.04437729	13.96396525	68.08906252	67.69921394
102	0.418487967	3.711489436	3.689407232	14.04675725	13.96473953	68.10060091	67.70296778
103	0.422566648	3.712134916	3.689617102	14.04916041	13.96552471	68.11225173	67.70677444
104	0.426644628	3.712786674	3.689828983	14.05158675	13.96632184	68.12401495	67.71063902
105	0.430721898	3.713444709	3.690042875	14.05403627	13.96713193	68.13589057	67.71456645
106	0.434798453	3.71410902	3.690258776	14.05650897	13.96795503	68.14787855	67.71855696
107	0.438874288	3.714779605	3.690476685	14.05900483	13.96878998	68.15997884	67.72260491
108	0.442949395	3.715456466	3.690696602	14.06152385	13.96963555	68.17219139	67.72670433
109	0.447023769	3.7161396	3.690918525	14.06406601	13.9704905	68.18451615	67.73084925
110	0.451097405	3.716829008	3.691142452	14.06663131	13.9713536	68.19695306	67.73503369
111	0.455170297	3.717524687	3.691368384	14.06921973	13.97222362	68.20950208	67.73925169
112	0.459242439	3.718226637	3.69159632	14.07183126	13.97309933	68.22216314	67.74349725
113	0.463313825	3.718934858	3.691826258	14.07446589	13.97397951	68.2349362	67.74776446
114	0.46738445	3.719649349	3.692058198	14.07712361	13.9748636	68.24782118	67.75205065
115	0.471454305	3.720370108	3.692292137	14.0798044	13.97575212	68.260818	67.75635832
116	0.475523385	3.721097136	3.692528074	14.08250823	13.97664568	68.27392654	67.76069043
117	0.479591682	3.721830431	3.692766011	14.08523508	13.9775449	68.2871467	67.76504996
118	0.48365919	3.722569992	3.693005944	14.08798494	13.97845038	68.30047838	67.76943987
119	0.487725902	3.723315818	3.693247873	14.09075778	13.97936275	68.31392149	67.77386314
120	0.49179181	3.724067909	3.693491797	14.09355358	13.9802826	68.3274759	67.77832272
121	0.495856909	3.724826264	3.693737714	14.09637232	13.98121056	68.34114154	67.78282159
122	0.49992119	3.725590881	3.693985624	14.099214	13.98214701	68.35491839	67.78736161
123	0.50398465	3.72636176	3.694235526	14.10207867	13.98309184	68.36880672	67.79194226
124	0.508047281	3.727138899	3.694487419	14.10496639	13.98404488	68.38280678	67.79656274
125	0.512109078	3.727922299	3.6947413	14.10787721	13.98500596	68.39691885	67.80122222
126	0.516170034	3.728711957	3.69499717	14.1108112	13.98597493	68.41114321	67.80591988
127	0.520230145	3.729507873	3.695255026	14.1137684	13.9869516	68.42548012	67.81065492
128	0.524289404	3.730310045	3.695514868	14.11674887	13.98793581	68.43992987	67.8154265
129	0.528347805	3.731118473	3.695776696	14.11975268	13.98892739	68.45449272	67.82023381
130	0.532405342	3.731933157	3.696040508	14.1227798	13.98992621	68.46916864	67.82507625
131	0.536462008	3.732754093	3.696306302	14.12583004	13.9909323	68.48395659	67.8299539
132	0.540517798	3.733581283	3.696574077	14.12890313	13.99194569	68.49885536	67.83486696
133	0.544572704	3.734414723	3.696843832	14.13199883	13.99296643	68.51386374	67.83981563
134	0.548626718	3.735254414	3.697115567	14.13511689	13.99399455	68.52898052	67.84480012
135	0.552679836	3.736100354	3.69738928	14.13825705	13.99503011	68.54420447	67.84982063
136	0.556732049	3.736952541	3.69766497	14.14141907	13.99607314	68.55953438	67.85487738
137	0.560783352	3.737810976	3.697942635	14.1446027	13.99712368	68.57496904	67.85997056
138	0.564833736	3.738675656	3.698222274	14.14780784	13.99818177	68.59050801	67.86510033
139	0.568883198	3.739546581	3.698503887	14.15103516	13.9992474	68.60615448	67.87026666
140	0.57293173	3.740423749	3.698787473	14.15428554	14.00032056	68.62191274	67.87546945
141	0.576979328	3.74130716	3.699073029	14.15755985	14.00140121	68.63778704	67.88070862
142	0.581025985	3.742196811	3.699360555	14.16085897	14.00248935	68.65378167	67.88598405
143	0.585071696	3.743092702	3.699650049	14.1641838	14.00358495	68.66990087	67.89129566
144	0.589116455	3.74399483	3.699941511	14.1675352	14.00468799	68.68614894	67.89664335
145	0.593160257	3.744903196	3.700234939	14.17091407	14.00579845	68.70253013	67.90202703
146	0.597203095	3.745817798	3.700530331	14.17432092	14.00691632	68.71904703	67.90744661
147	0.601244965	3.746738634	3.700827687	14.17775366	14.00804159	68.7356894	67.91290206
148	0.605285858	3.747665703	3.701127006	14.18120895	14.00917425	68.75244116	67.91839339
149	0.60932577	3.748599004	3.701428286	14.18468349	14.01031432	68.76928617	67.92392059
150	0.613364695	3.749538535	3.701731527	14.18817393	14.01146179	68.78620831	67.92948369
151	0.617402625	3.750484295	3.702036725	14.19167696	14.01261666	68.80319146	67.93508266
152	0.621439554	3.751436283	3.702343882	14.19518924	14.01377894	68.82021949	67.94071753
153	0.625475478	3.752394497	3.702652994	14.19870745	14.01494862	68.83727628	67.94638829
154	0.629510388	3.753358936	3.702964062	14.20222868	14.0161257	68.85434764	67.95209495
155	0.63354428	3.754329598	3.703277083	14.2057555	14.01731018	68.87144618	67.95783746
156	0.637577148	3.755306481	3.703592056	14.20929454	14.01850203	68.8886039	67.96361574
157	0.641608986	3.756289586	3.703908982	14.21285247	14.01970125	68.90585326	67.96942973
158	0.645639788	3.757278909	3.704227857	14.21643601	14.02090782	68.92322673	67.97527934
159	0.64966955	3.758274449	3.704548681	14.22005183	14.02212172	68.94075675	67.9811645
160	0.653698265	3.759276205	3.704871452	14.22370665	14.02334294	68.95847579	67.98708514
161	0.657725927	3.760284175	3.705196169	14.22740714	14.02457146	68.97641629	67.99304117
162	0.661752532	3.761298358	3.705522831	14.23115983	14.02580727	68.99460983	67.99903253
163	0.665778073	3.762318753	3.705851436	14.23496539	14.02705036	69.01305971	68.00505918
164	0.669802545	3.763345357	3.706181984	14.23881761	14.02830073	69.03173579	68.01112114
165	0.673825941	3.764378169	3.706514472	14.24270986	14.02955838	69.05060598	68.01721842
166	0.677848257	3.765417187	3.706848901	14.24663553	14.03082332	69.06963817	68.02335104
167	0.681869484	3.766462411	3.707185267	14.250588	14.03209556	69.08880028	68.02951901
168	0.685889619	3.767513837	3.707523571	14.25456065	14.03337509	69.10806023	68.03572236
169	0.689908655	3.768571464	3.70786381	14.25854686	14.03466192	69.12738591	68.04196109
170	0.693926586	3.769635292	3.708205983	14.26254003	14.03595605	69.14674533	68.04823522
171	0.697943407	3.770705318	3.70855009	14.26653644	14.03725749	69.16612047	68.05454475
172	0.70195911	3.77178154	3.708896128	14.27053827	14.03856621	69.18552192	68.0608896
173	0.705973692	3.772863957	3.709244096	14.27454844	14.0398822	69.20496378	68.0672697
174	0.709987145	3.773952567	3.709593993	14.27856986	14.04120544	69.22446014	68.07368495
175	0.713999464	3.775047368	3.709945817	14.28260542	14.04253592	69.24402511	68.0801353
176	0.718010644	3.776148359	3.710299568	14.28665805	14.04387362	69.2636728	68.08662065
177	0.722020677	3.777255537	3.710655244	14.29073064	14.04521852	69.28341728	68.09314093
178	0.72602956	3.778368902	3.711012843	14.29482611	14.04657061	69.30327268	68.09969607
179	0.730037284	3.77948845	3.711372365	14.29894683	14.04792989	69.32325051	68.10628601
180	0.734043847	3.780614181	3.711733807	14.30309312	14.04929636	69.34335225	68.11291087
181	0.738049241	3.781746093	3.712097168	14.30726475	14.05067007	69.36357691	68.11957077
182	0.742053461	3.782884184	3.712462448	14.31146154	14.05205103	69.38392353	68.12626587
183	0.746056503	3.784028451	3.712829644	14.31568328	14.05343928	69.4043911	68.13299629
184	0.75005836	3.785178894	3.713198755	14.31992977	14.05483484	69.42497865	68.13976217
185	0.754059027	3.786335509	3.71356978	14.3242008	14.05623775	69.44568519	68.14656366
186	0.7580585	3.787498296	3.713942717	14.32849617	14.05764803	69.46650973	68.15340089
187	0.762056771	3.788667253	3.714317566	14.33281568	14.05906569	69.48745132	68.16027392
188	0.766053837	3.789842378	3.714694323	14.33715916	14.06049065	69.50850907	68.1671823
189	0.770049691	3.791023668	3.715072989	14.34152642	14.06192274	69.52968217	68.17412529
190	0.774044328	3.792211122	3.715453561	14.34591731	14.06336182	69.5509698	68.18110214
191	0.778037743	3.793404738	3.715836038	14.35033165	14.06480774	69.57237113	68.18811213
192	0.78202993	3.794604514	3.71622042	14.35476928	14.06626033	69.59388535	68.1951545
193	0.786020883	3.795810448	3.716606703	14.35923002	14.06771945	69.61551164	68.20222852
194	0.790010597	3.797022539	3.716994888	14.36371371	14.06918495	69.63724918	68.20933346
195	0.793999067	3.798240783	3.717384972	14.36822016	14.07065669	69.65909705	68.21646864
196	0.797986287	3.799465181	3.717776954	14.37274868	14.07213486	69.68105193	68.22363501
197	0.801972252	3.800695728	3.718170832	14.3772981	14.07361998	69.70310816	68.2308351
198	0.805956956	3.801932424	3.718566606	14.38186723	14.0751126	69.72525995	68.23807153
199	0.809940395	3.803175266	3.718964273	14.38645489	14.07661326	69.74750153	68.24534691
200	0.813922562	3.804424253	3.719363832	14.39105987	14.07812248	69.76982711	68.25266384
201	0.817903452	3.805679382	3.719765281	14.39568099	14.07964082	69.79223091	68.26002494
202	0.821883061	3.806940652	3.72016862	14.40031704	14.0811688	69.81470715	68.26743283
203	0.825861382	3.808208061	3.720573846	14.40496686	14.08270697	69.8372501	68.27489009
204	0.829838411	3.809481607	3.720980958	14.40963053	14.08425539	69.85986022	68.28239702
205	0.833814141	3.810761287	3.721389955	14.41431089	14.08581311	69.88255124	68.28994904
206	0.837788569	3.8120471	3.721800835	14.41901112	14.08737904	69.90533859	68.29754091
207	0.841761687	3.813339043	3.722213596	14.4237344	14.08895212	69.9282377	68.30516741
208	0.845733492	3.814637116	3.722628237	14.42848391	14.09053127	69.95126399	68.31282333
209	0.849703977	3.815941316	3.723044757	14.43326284	14.0921154	69.9744329	68.32050343
210	0.853673137	3.817251641	3.723463154	14.43807437	14.09370345	69.99775984	68.32820249
211	0.857640968	3.818568088	3.723883426	14.44292168	14.09529433	70.02126024	68.33591529
