# Echo 22 focal plane parameters from Figure 7 of DESI-0329v3.							
# The plate scale varies with radius, and is different in the							
# meridional (radial) direction vs. the							
# sagittal (tangential/azimuthal) direction.  The table below						
# contains the F/#, Focal Length, and Plate Scale vs. radius for							
# both the meridional and sagittal orientations at that radius.							
							
# Columns:							
# - Radius : radius from center of focal plane [mm]							
# - Theta radial angle that has a centroid at this radius [deg]							
# - MF/# : Meridional F/#							
# - SF/# : Sagittal F/#							
# - MFL  : Meridional focal length [m]							
# - SFL  : Sagittal focal length [m]							
# - MPS  : Meridional plate scale [um/arcsec]							
# - SPS  : Sagittal plate scale [um/arcsec]							
# Radius	Theta	MF/#	SF/#	MFL	SFL	MPS	SPS
280	1.127931019	3.924094245	3.757317075	14.83049421	14.22144873	71.90026492	68.94752907
281	1.131793814	3.925835583	3.757864447	14.83685862	14.22352048	71.93112043	68.95757321
282	1.13565495	3.927582969	3.75841357	14.84324343	14.22559444	71.96207489	68.96762804
283	1.139514422	3.929336404	3.758964442	14.84964919	14.22767022	71.99313086	68.97769171
284	1.143372226	3.931095889	3.759517062	14.85607641	14.22974743	72.0242909	68.98776233
285	1.147228357	3.932861425	3.760071428	14.86252563	14.23182569	72.05555759	68.99783803
286	1.151082812	3.934633013	3.760627538	14.86899737	14.23390462	72.0869335	69.00791694
287	1.154935586	3.936410653	3.761185389	14.87549217	14.23598382	72.11842118	69.01799718
288	1.158786674	3.938194347	3.761744981	14.88201036	14.23806338	72.15002224	69.02807917
289	1.162636073	3.939984097	3.762306311	14.88855143	14.24014538	72.18173426	69.03817299
290	1.166483778	3.941779903	3.762869377	14.89511467	14.24223241	72.21355374	69.04829123
291	1.170329785	3.943581767	3.763434178	14.90169935	14.24432708	72.24547718	69.05844649
292	1.17417409	3.945389689	3.76400071	14.90830476	14.24643199	72.27750108	69.06865137
293	1.178016689	3.947203673	3.764568974	14.91493016	14.24854974	72.30962197	69.07891848
294	1.181857578	3.949023718	3.765138966	14.92157485	14.25068291	72.34183633	69.08926041
295	1.185696753	3.950849826	3.765710684	14.9282381	14.25283412	72.37414068	69.09968976
296	1.189534209	3.952682	3.766284126	14.93491922	14.25500589	72.40653165	69.1102188
297	1.193369944	3.954520242	3.766859292	14.94161853	14.257198	72.43901081	69.12084645
298	1.197203952	3.956364552	3.767436179	14.94833768	14.25940666	72.47158618	69.13155434
299	1.201036232	3.958214933	3.768014785	14.95507841	14.26162784	72.50426617	69.1423229
300	1.204866778	3.960071387	3.768595108	14.96184247	14.2638575	72.53705923	69.15313261
301	1.208695589	3.961933916	3.769177146	14.96863158	14.26609161	72.56997379	69.1639639
302	1.21252266	3.963802522	3.769760896	14.9754475	14.26832615	72.60301827	69.17479725
303	1.216347987	3.965677207	3.770346359	14.98229195	14.27055708	72.63620112	69.1856131
304	1.220171568	3.967557974	3.77093353	14.98916668	14.27278037	72.66953077	69.1963919
305	1.223993398	3.969444824	3.771522409	14.99607298	14.27499265	72.70301345	69.20711736
306	1.227813475	3.97133776	3.772112994	15.00300859	14.27719579	72.73663821	69.21779846
307	1.231631793	3.973236784	3.772705282	15.00996958	14.27939408	72.77038608	69.22845607
308	1.235448349	3.9751419	3.773299273	15.01695204	14.28159184	72.80423799	69.23911113
309	1.23926314	3.977053109	3.773894963	15.02395203	14.28379339	72.8381749	69.24978456
310	1.24307616	3.978970415	3.774492352	15.03096563	14.28600306	72.87217777	69.2604973
311	1.246887407	3.98089382	3.775091436	15.0379889	14.28822515	72.90622756	69.2712703
312	1.250696876	3.982823326	3.775692215	15.04501792	14.29046398	72.94030521	69.28212447
313	1.254504563	3.984758938	3.776294686	15.05204877	14.29272387	72.9743917	69.29308075
314	1.258310464	3.986700656	3.776898848	15.05908018	14.2950074	73.00848095	69.30415157
315	1.262114577	3.988648484	3.777504698	15.06611811	14.29731238	73.04260181	69.31532644
316	1.265916897	3.990602426	3.778112236	15.07316972	14.29963587	73.07678899	69.32659105
317	1.269717421	3.992562484	3.778721458	15.08024218	14.30197492	73.11107721	69.33793106
318	1.273516147	3.994528661	3.779332364	15.08734263	14.30432656	73.14550118	69.34933215
319	1.27731307	3.99650096	3.779944951	15.09447824	14.30668785	73.1800956	69.36078001
320	1.281108187	3.998479385	3.780559218	15.10165617	14.30905583	73.21489519	69.3722603
321	1.284901496	4.000463938	3.781175162	15.10888358	14.31142754	73.24993466	69.3837587
322	1.288692992	4.002454623	3.781792783	15.11616737	14.31380007	73.28524747	69.39526105
323	1.292482672	4.004451442	3.782412078	15.12350662	14.31617152	73.32082916	69.40675815
324	1.296270532	4.0064544	3.783033045	15.13089144	14.31854116	73.35663178	69.41824649
325	1.300056569	4.008463499	3.783655683	15.13831144	14.32090834	73.39260493	69.42972288
326	1.303840778	4.010478743	3.78427999	15.14575621	14.32327239	73.42869823	69.44118413
327	1.307623157	4.012500134	3.784905964	15.15321538	14.32563266	73.4648613	69.45262704
328	1.311403701	4.014527675	3.785533603	15.16067855	14.32798849	73.50104375	69.46404842
329	1.315182406	4.016561371	3.786162906	15.16813532	14.33033922	73.53719521	69.47544508
330	1.318959268	4.018601225	3.786793872	15.17557531	14.33268419	73.57326528	69.48681383
331	1.322734285	4.020647238	3.787426498	15.18298934	14.33502307	73.60920954	69.49815303
332	1.326507452	4.022699416	3.788060782	15.19037991	14.33735856	73.64504	69.50947583
333	1.330278767	4.02475776	3.788696724	15.19775591	14.33969508	73.68079986	69.52080358
334	1.334048228	4.026822274	3.78933432	15.20512632	14.34203703	73.71653263	69.53215767
335	1.33781583	4.02889296	3.789973571	15.21250013	14.34438883	73.75228185	69.54355952
336	1.341581573	4.030969822	3.790614474	15.2198863	14.3467549	73.78809104	69.55503055
337	1.345345451	4.033052862	3.791257028	15.22729382	14.34913965	73.82400371	69.56659216
338	1.349107464	4.035142085	3.79190123	15.23473166	14.35154751	73.86006339	69.57826577
339	1.352867608	4.037237492	3.792547081	15.24220881	14.35398288	73.89631361	69.5900728
340	1.356625879	4.039339085	3.793194577	15.24973242	14.35644853	73.93278909	69.60202659
341	1.360382276	4.041446868	3.793843718	15.2573016	14.35893983	73.96948553	69.61410475
342	1.364136794	4.043560843	3.794494502	15.26491323	14.3614501	74.00638773	69.62627491
343	1.36788943	4.045681012	3.795146927	15.27256416	14.36397268	74.04348052	69.6385047
344	1.371640181	4.047807377	3.795800992	15.28025128	14.36650088	74.08074873	69.65076178
345	1.375389044	4.049939942	3.796456696	15.28797146	14.36902804	74.11817718	69.66301377
346	1.379136014	4.052078706	3.797114037	15.29572155	14.37154747	74.15575069	69.67522833
347	1.382881089	4.054223672	3.797773014	15.30349843	14.37405251	74.19345408	69.68737309
348	1.386624265	4.056374843	3.798433626	15.31129898	14.37653649	74.23127219	69.69941575
349	1.390365539	4.058532218	3.799095871	15.31912139	14.37899654	74.26919631	69.71134242
350	1.394104908	4.0606958	3.799759748	15.32696712	14.38143911	74.30723352	69.72318434
351	1.397842369	4.062865589	3.800425256	15.33483813	14.38387204	74.34539324	69.73497954
352	1.40157792	4.065041585	3.801092392	15.34273636	14.38630319	74.38368493	69.74676605
353	1.405311557	4.06722379	3.801761158	15.35066376	14.38874038	74.42211803	69.75858189
354	1.409043278	4.069412203	3.80243155	15.35862227	14.39119146	74.46070199	69.7704651
355	1.41277308	4.071606825	3.803103568	15.36661384	14.39366429	74.49944624	69.78245369
356	1.41650096	4.073807655	3.803777212	15.37464043	14.3961667	74.53836023	69.7945857
357	1.420226915	4.076014692	3.804452479	15.38270391	14.39870644	74.5774531	69.80689872
358	1.423950942	4.078227935	3.805129369	15.39080234	14.40128578	74.61671538	69.81940372
359	1.427673039	4.080447383	3.80580788	15.39892775	14.40389838	74.65610846	69.83206994
360	1.431393203	4.082673034	3.806488012	15.40707164	14.40653713	74.69559116	69.844863
361	1.435111431	4.084904886	3.807169763	15.41522552	14.40919496	74.73512231	69.8577485
362	1.43882772	4.087142936	3.807853134	15.42338091	14.41186476	74.77466074	69.87069205
363	1.442542067	4.089387181	3.808538123	15.43152931	14.41453944	74.8141653	69.88365926
364	1.44625447	4.091637617	3.809224729	15.43966223	14.4172119	74.8535948	69.89661572
365	1.449964926	4.093894242	3.809912951	15.44777117	14.41987505	74.89290808	69.90952706
366	1.453673432	4.096157049	3.810602789	15.45584795	14.42252199	74.93206537	69.92235975
367	1.457379985	4.098426033	3.811294241	15.46389278	14.4251511	74.97106782	69.93510603
368	1.461084585	4.10070119	3.811987308	15.47191549	14.42776681	75.00996302	69.94778736
369	1.46478723	4.102982513	3.81268199	15.47992642	14.43037387	75.04880111	69.96042678
370	1.468487917	4.105269995	3.813378284	15.48793591	14.43297705	75.08763219	69.97304733
371	1.472186645	4.107563629	3.814076191	15.49595429	14.43558109	75.12650639	69.98567206
372	1.475883413	4.109863406	3.814775709	15.5039919	14.43819074	75.16547383	69.99832401
373	1.479578219	4.112169317	3.81547684	15.51205907	14.44081076	75.20458462	70.01102622
374	1.483271062	4.114481352	3.816179582	15.52016616	14.4434459	75.24388887	70.02380173
375	1.486961939	4.116799501	3.816883935	15.52832308	14.4461007	75.28343474	70.03667258
376	1.490650849	4.119123753	3.817589899	15.53653163	14.44877551	75.32323094	70.04964044
377	1.49433779	4.121454095	3.818297474	15.54478613	14.45146683	75.36324986	70.06268829
378	1.498022759	4.123790515	3.819006659	15.5530806	14.45417098	75.40346259	70.0757984
379	1.501705756	4.126132998	3.819717454	15.56140908	14.45688432	75.44384017	70.08895306
380	1.505386776	4.128481529	3.82042986	15.56976558	14.45960319	75.48435367	70.10213452
381	1.50906582	4.130836093	3.821143876	15.57814416	14.46232394	75.52497414	70.11532507
382	1.512742884	4.133196671	3.821859503	15.58653883	14.4650429	75.56567265	70.12850697
383	1.516417966	4.135563246	3.822576741	15.59494362	14.46775643	75.60642025	70.14166251
384	1.520091065	4.137935798	3.823295589	15.60335311	14.47046106	75.64719058	70.15477496
385	1.523762177	4.140314308	3.824016048	15.61177086	14.47315688	75.688001	70.16784466
386	1.527431299	4.142698752	3.824738118	15.62020798	14.47584689	75.72890532	70.18088619
387	1.531098428	4.145089107	3.825461801	15.62867581	14.47853418	75.76995849	70.19391455
388	1.534763559	4.147485349	3.826187096	15.63718567	14.48122186	75.81121545	70.20694475
389	1.53842669	4.149887452	3.826914004	15.64574889	14.483913	75.85273114	70.2199918
390	1.542087817	4.152295388	3.827642525	15.65437681	14.48661072	75.89456048	70.23307072
391	1.545746936	4.154709129	3.828372661	15.66308076	14.48931811	75.93675843	70.2461965
392	1.549404044	4.157128644	3.829104411	15.67187208	14.49203826	75.97937992	70.25938416
393	1.553059138	4.1595539	3.829837778	15.68076099	14.49477414	76.02247458	70.27264806
394	1.556712217	4.161984863	3.830572761	15.68973874	14.49752641	76.06599996	70.28599145
395	1.560363285	4.164421496	3.831309363	15.69878048	14.50029379	76.10983555	70.29940811
396	1.564012344	4.166863764	3.832047584	15.70786085	14.50307495	76.15385839	70.31289155
397	1.567659397	4.169311625	3.832787425	15.71695446	14.50586854	76.1979455	70.32643527
398	1.571304448	4.171765039	3.833528887	15.72603598	14.50867323	76.24197391	70.34003277
399	1.574947499	4.174223961	3.834271973	15.73508002	14.51148767	76.28582067	70.35367755
400	1.578588554	4.176688345	3.835016683	15.74406123	14.51431052	76.3293628	70.36736311
401	1.582227614	4.179158142	3.835763019	15.75295424	14.51714044	76.37247733	70.38108296
402	1.585864683	4.181633303	3.836510982	15.76173458	14.51997611	76.41504561	70.39483069
403	1.589499744	4.184113773	3.837260575	15.77039708	14.52281664	76.45704263	70.40860196
404	1.593132764	4.186599498	3.838011799	15.77895528	14.52566155	76.49853394	70.42239445
405	1.596763706	4.189090418	3.838764657	15.78742345	14.52851037	76.5395888	70.43620591
406	1.600392536	4.191586474	3.83951915	15.79581589	14.53136263	76.58027647	70.4500341
407	1.60401922	4.1940876	3.840275281	15.80414687	14.53421789	76.62066622	70.46387676
408	1.607643722	4.19659373	3.841033051	15.81243069	14.53707566	76.66082729	70.47773165
409	1.611266008	4.199104794	3.841792464	15.82068162	14.5399355	76.70082896	70.49159653
410	1.614886042	4.201620718	3.842553522	15.82891397	14.54279693	76.74074048	70.50546914
411	1.618503794	4.204141428	3.843316227	15.83714182	14.5456595	76.78063025	70.51934727
412	1.622119354	4.206666841	3.844080582	15.84537304	14.5485229	76.82053633	70.53322943
413	1.625732964	4.209196875	3.844846591	15.85360768	14.55138703	76.86045896	70.54711513
414	1.629344878	4.211731444	3.845614255	15.86184528	14.5542518	76.90039599	70.5610039
415	1.632955347	4.214270455	3.846383579	15.87008541	14.5571171	76.94034528	70.57489528
416	1.636564624	4.216813816	3.847154566	15.87832763	14.55998285	76.98030469	70.58878883
417	1.640172961	4.219361426	3.847927218	15.8865715	14.56284895	77.02027207	70.60268407
418	1.643780611	4.221913181	3.84870154	15.89481656	14.56571531	77.06024529	70.61658056
419	1.647387826	4.224468976	3.849477536	15.90306239	14.56858183	77.1002222	70.63047784
420	1.650994857	4.227028699	3.85025521	15.91130854	14.57144841	77.14020066	70.64437545
