DEVICE_ID,DEVICE_TYPE,PETAL_ID,BUS_ID,CAN_ID,SI_ID,FULL_SI_ID,PETAL_LOC,DEVICE_LOC
8204,POS,1,14,8204,c1:76:22:02:18:61:01:13,18:61:01:43:31:ff:d5:05:4b:57:38:32,,525
8206,POS,1,14,8206,c0:86:0a:01:15:61:10:13,15:61:10:43:30:ff:da:05:4b:58:32:31,,453
8215,POS,1,14,8215,c0:86:0a:01:28:61:10:13,28:61:10:43:30:ff:d8:05:4b:58:32:31,,430
8220,POS,1,14,8220,c0:86:0a:01:19:90:09:13,19:90:09:43:30:ff:d8:05:4b:58:32:31,,452
8228,POS,1,14,8228,c0:86:0a:01:35:58:10:13,35:58:10:43:30:ff:d7:05:4b:58:32:31,,524
8238,POS,1,14,8238,c0:86:0a:01:15:80:09:13,15:80:09:43:30:ff:d7:05:4b:58:32:31,,434
8239,POS,1,14,8239,c1:76:22:02:12:75:01:13,12:75:01:43:31:ff:d5:05:4b:57:38:32,,457
8257,POS,1,14,8257,c0:86:0a:01:21:55:10:13,21:55:10:43:30:ff:d6:05:4b:58:32:31,,458
8258,POS,1,14,8258,c1:76:22:02:22:64:02:13,22:64:02:43:31:ff:d7:05:4b:57:38:32,,511
8259,POS,1,14,8259,c1:76:22:02:36:61:01:13,36:61:01:43:31:ff:d5:05:4b:57:38:32,,476
8260,POS,1,14,8260,c1:76:22:02:16:68:01:13,16:68:01:43:31:ff:dc:05:4b:57:38:32,,477
8261,POS,1,14,8261,c1:76:22:02:07:65:01:13,07:65:01:43:31:ff:da:05:4b:57:38:32,,495
8264,POS,1,14,8264,c1:76:22:02:19:61:01:13,19:61:01:43:31:ff:db:05:4b:57:38:32,,512
8268,POS,1,14,8268,c1:76:22:02:24:75:01:13,24:75:01:43:31:ff:d4:05:4b:57:38:32,,456
8285,POS,1,14,8285,c1:76:22:02:33:56:01:13,33:56:01:43:31:ff:d8:05:4b:57:38:32,,472
P140,FIF,1,14,10140,c3:74:02:08:31:58:07:13,31:58:07:43:33:ff:dc:05:43:57:30:38,,496
P143,FIF,1,14,10143,c3:74:02:08:26:63:07:13,26:63:07:43:33:ff:d7:05:43:57:30:38,,534
286,POS,1,15,421,47:b4:19:02:33:59:01:13,33:59:01:43:37:ff:d7:05:41:4b:36:32,,357
1302,POS,1,15,1302,47:b4:19:02:07:59:01:13,07:59:01:43:37:ff:d6:05:41:4b:36:32,,294
1342,POS,1,15,1342,47:b4:19:02:16:52:02:13,16:52:02:43:37:ff:d6:05:41:4b:36:32,,362
1430,POS,1,15,1430,c3:74:02:08:22:54:06:13,22:54:06:43:33:ff:da:05:43:57:30:38,,336
1575,POS,1,15,1575,47:b4:19:02:22:65:03:13,22:65:03:43:37:ff:d6:05:41:4b:36:32,,295
1590,POS,1,15,1590,47:b4:19:02:24:78:01:13,24:78:01:43:37:ff:d8:05:41:4b:36:32,,223
1597,POS,1,15,1597,47:b4:19:02:08:83:03:13,08:83:03:43:37:ff:d5:05:41:4b:36:32,,337
1663,POS,1,15,1663,c3:74:02:08:26:82:07:13,26:82:07:43:33:ff:d2:05:43:57:30:38,,316
1891,POS,1,15,1891,c3:74:02:08:26:78:04:13,26:78:04:43:33:ff:da:05:43:57:30:38,,258
1963,POS,1,15,1963,47:b4:19:02:11:69:02:13,11:69:02:43:37:ff:d7:05:41:4b:36:32,,275
1982,POS,1,15,1982,47:b4:19:02:08:70:01:13,08:70:01:43:37:ff:d7:05:41:4b:36:32,,342
1988,POS,1,15,1988,47:b4:19:02:14:62:01:13,14:62:01:43:37:ff:d5:05:41:4b:36:32,,276
1991,POS,1,15,1991,47:b4:19:02:39:84:03:13,39:84:03:43:37:ff:d7:05:41:4b:36:32,,338
2010,POS,1,15,2010,c3:74:02:08:33:77:07:13,33:77:07:43:33:ff:d6:05:43:57:30:38,,293
2026,POS,1,15,2026,c3:74:02:08:17:85:07:13,17:85:07:43:33:ff:d7:05:43:57:30:38,,404
2062,POS,1,15,2062,c3:74:02:08:11:66:06:13,11:66:06:43:33:ff:d9:05:43:57:30:38,,298
2070,POS,1,15,2070,c3:74:02:08:29:78:07:13,29:78:07:43:33:ff:d5:05:43:57:30:38,,341
2138,POS,1,15,2138,c3:74:02:08:25:54:06:13,25:54:06:43:33:ff:dd:05:43:57:30:38,,257
2142,POS,1,15,2142,c3:74:02:08:31:76:07:13,31:76:07:43:33:ff:db:05:43:57:30:38,,296
2144,POS,1,15,2144,c3:74:02:08:22:90:07:13,22:90:07:43:33:ff:d8:05:43:57:30:38,,315
2149,POS,1,15,2149,c3:74:02:08:21:59:06:13,21:59:06:43:33:ff:d8:05:43:57:30:38,,297
2158,POS,1,15,2158,c3:74:02:08:15:76:07:13,15:76:07:43:33:ff:da:05:43:57:30:38,,240
2162,POS,1,15,2162,c3:74:02:08:29:76:07:13,29:76:07:43:33:ff:d7:05:43:57:30:38,,260
2163,POS,1,15,2163,c3:74:02:08:18:60:06:13,18:60:06:43:33:ff:d8:05:43:57:30:38,,277
2180,POS,1,15,2180,c3:74:02:08:25:84:07:13,25:84:07:43:33:ff:d7:05:43:57:30:38,,241
2236,POS,1,15,2236,c3:74:02:08:35:87:08:13,35:87:08:43:33:ff:da:05:43:57:30:38,,361
2304,POS,1,15,2304,c3:74:02:08:07:76:07:13,07:76:07:43:33:ff:d9:05:43:57:30:38,,279
5708,POS,1,15,5708,c3:74:02:08:10:69:06:13,10:69:06:43:33:ff:d9:05:43:57:30:38,,427
6437,POS,1,15,6437,c1:76:22:02:26:73:01:13,26:73:01:43:31:ff:d8:05:4b:57:38:32,,280
7538,POS,1,15,7538,c1:76:22:02:14:52:01:13,14:52:01:43:31:ff:d7:05:4b:57:38:32,,320
7996,POS,1,15,7996,c1:76:22:02:13:66:01:13,13:66:01:43:31:ff:d7:05:4b:57:38:32,,317
8018,POS,1,15,8018,c1:76:22:02:09:69:02:13,09:69:02:43:31:ff:d6:05:4b:57:38:32,,359
8051,POS,1,15,8051,c1:76:22:02:03:74:02:13,03:74:02:43:31:ff:d9:05:4b:57:38:32,,405
8053,POS,1,15,8053,c1:76:22:02:17:69:01:13,17:69:01:43:31:ff:d3:05:4b:57:38:32,,259
8068,POS,1,15,8068,c1:76:22:02:39:74:01:13,39:74:01:43:31:ff:db:05:4b:57:38:32,,278
8113,POS,1,15,8113,c0:86:0a:01:10:83:09:13,10:83:09:43:30:ff:d8:05:4b:58:32:31,,382
8202,POS,1,15,8202,c0:86:0a:01:09:57:10:13,09:57:10:43:30:ff:da:05:4b:58:32:31,,318
8229,POS,1,15,8229,c0:86:0a:01:30:51:10:13,30:51:10:43:30:ff:da:05:4b:58:32:31,,383
8231,POS,1,15,8231,c1:76:22:02:33:70:02:13,33:70:02:43:31:ff:db:05:4b:57:38:32,,426
8233,POS,1,15,8233,c0:86:0a:01:19:56:10:13,19:56:10:43:30:ff:d8:05:4b:58:32:31,,380
8271,POS,1,15,8271,c1:76:22:02:25:54:01:13,25:54:01:43:31:ff:da:05:4b:57:38:32,,403
8279,POS,1,15,8279,c0:86:0a:01:30:60:10:13,30:60:10:43:30:ff:d8:05:4b:58:32:31,,300
8280,POS,1,15,8280,c1:76:22:02:21:66:01:13,21:66:01:43:31:ff:d7:05:4b:57:38:32,,339
8281,POS,1,15,8281,c0:86:0a:01:18:83:09:13,18:83:09:43:30:ff:d9:05:4b:58:32:31,,340
8312,POS,1,15,8312,c0:86:0a:01:29:51:10:13,29:51:10:43:30:ff:da:05:4b:58:32:31,,360
8320,POS,1,15,8320,c1:76:22:02:26:75:01:13,26:75:01:43:31:ff:d7:05:4b:57:38:32,,381
8326,POS,1,15,8326,c1:76:22:02:13:79:01:13,13:79:01:43:31:ff:da:05:4b:57:38:32,,319
8331,POS,1,15,8331,c1:76:22:02:22:68:01:13,22:68:01:43:31:ff:d7:05:4b:57:38:32,,402
8340,POS,1,15,8340,c0:86:0a:01:08:60:10:13,08:60:10:43:30:ff:d5:05:4b:58:32:31,,358
8348,POS,1,15,8348,c0:86:0a:01:25:83:09:13,25:83:09:43:30:ff:da:05:4b:58:32:31,,299
P138,FIF,1,15,10138,c1:74:0e:09:18:78:07:13,18:78:07:43:31:ff:d8:05:43:57:33:39,,321
6805,POS,1,16,6805,c1:76:22:02:08:65:02:13,08:65:02:43:31:ff:d8:05:4b:57:38:32,,467
6924,POS,1,16,6924,c1:76:22:02:42:70:01:13,42:70:01:43:31:ff:dd:05:4b:57:38:32,,447
6925,POS,1,16,6925,c1:76:22:02:15:84:01:13,15:84:01:43:31:ff:d8:05:4b:57:38:32,,502
6926,POS,1,16,6926,c0:86:0a:01:34:61:10:13,34:61:10:43:30:ff:d9:05:4b:58:32:31,,486
6928,POS,1,16,6928,c1:76:22:02:32:87:01:13,32:87:01:43:31:ff:d8:05:4b:57:38:32,,485
6956,POS,1,16,6956,c1:76:22:02:28:59:02:13,28:59:02:43:31:ff:db:05:4b:57:38:32,,425
