PETAL_ID,PETAL_LOC,DEVICE_LOC,DEVICE_TYPE,PINHOLE_ID,X_PTL,Y_PTL,Z_PTL,X_MNT,Y_MNT,Z_MNT,PTL_SOURCE,PROJ_DISTANCE,PROVENANCE,NOTES,X_FP,Y_FP,Z_FP,LOCATION,DEVICE_ID,BUS_ID
1,0,482,FIF,1,403.8509405,60.3036709,-18.8535764,395.41996800000004,58.018378000000006,-104.811961,Measured,86.5,"DESI-5711, DESI-3543",,403.83768308085405,60.307374074450394,-18.8535764,482,P136,17
1,0,482,FIF,2,403.1800298,58.8530348,-18.7557194,395.41996800000004,58.018378000000006,-104.811961,Measured,86.5,"DESI-5711, DESI-3543",,403.1664255221116,58.857366974193326,-18.7557194,482,P136,17
1,0,482,FIF,3,404.9346317,59.7972067,-18.9569395,395.41996800000004,58.018378000000006,-104.811961,Measured,86.5,"DESI-5711, DESI-3543",,404.9229755652161,59.801768434732665,-18.9569395,482,P136,17
1,0,482,FIF,4,404.0580045,59.3257097,-18.845554800000002,395.41996800000004,58.018378000000006,-104.811961,Measured,86.5,"DESI-5711, DESI-3543",,404.04446839290074,59.329512534537756,-18.845554800000002,482,P136,17
1,0,496,FIF,1,329.9727718,186.3367873,-16.0315032,324.233814,181.97913,-102.22118,Measured,86.5,"DESI-5711, DESI-3543",,329.9727718,186.3367873,-16.0315032,496,P140,14
1,0,496,FIF,2,330.2934038,184.7707731,-15.981708999999999,324.233814,181.97913,-102.22118,Measured,86.5,"DESI-5711, DESI-3543",,330.2934038,184.7707731,-15.981708999999999,496,P140,14
1,0,496,FIF,3,331.144388,186.572917,-16.1398818,324.233814,181.97913,-102.22118,Measured,86.5,"DESI-5711, DESI-3543",,331.144388,186.572917,-16.1398818,496,P140,14
1,0,496,FIF,4,330.7186985,185.6712995,-16.0409498,324.233814,181.97913,-102.22118,Measured,86.5,"DESI-5711, DESI-3543",,330.7186985,185.6712995,-16.0409498,496,P140,14
1,0,517,FIF,1,394.6174225,112.8087058,-19.080195800000002,385.30621099999996,110.89441799999999,-104.943874,Measured,86.5,"DESI-5711, DESI-3543",,394.6222204196457,112.82165926018857,-19.080195800000002,517,P137,16
1,0,517,FIF,2,394.0994674,114.3219838,-19.085675300000002,385.30621099999996,110.89441799999999,-104.943874,Measured,86.5,"DESI-5711, DESI-3543",,394.10807813862,114.3340338576511,-19.085675300000002,517,P137,16
