DEVICE_ID,DEVICE_TYPE,PETAL_ID,BUS_ID,CAN_ID,PETAL_LOC,DEVICE_LOC,FVC_ID,SLIT_ID,SLITBLOCK_ID,BLOCKFIBER_ID,SPECTRO_ID,ENABLED
M06588,POS,1,17,6588,3,417,1417,,,,,N/A
M06589,POS,1,17,6589,3,395,1395,,,,,N/A
M06592,POS,1,17,6592,3,397,1397,,,,,N/A
M06639,POS,1,23,6639,3,262,1262,,,,,N/A
M06751,POS,1,17,6751,3,378,1378,,,,,N/A
M06795,POS,1,17,6795,3,465,1465,,,,,N/A
M06796,POS,1,17,6796,3,445,1445,,,,,N/A
M06798,POS,1,17,6798,3,400,1400,,,,,N/A
M06805,POS,1,16,6805,3,467,1467,,,,,N/A
M06807,POS,1,17,6807,3,444,1444,,,,,N/A
M06844,POS,1,13,6844,3,148,1148,,,,,N/A
M06845,POS,1,13,6845,3,205,1205,,,,,N/A
M06846,POS,1,13,6846,3,162,1162,,,,,N/A
M06896,POS,1,13,6896,3,190,1190,,,,,N/A
M06897,POS,1,11,6897,3,60,1060,,,,,N/A
M06905,POS,1,11,6905,3,68,1068,,,,,N/A
M06915,POS,1,11,6915,3,51,1051,,,,,N/A
M06916,POS,1,17,6916,3,422,1422,,,,,N/A
M06917,POS,1,17,6917,3,483,1483,,,,,N/A
M06920,POS,1,17,6920,3,379,1379,,,,,N/A
M06923,POS,1,17,6923,3,501,1501,,,,,N/A
M06924,POS,1,16,6924,3,447,1447,,,,,N/A
M06925,POS,1,16,6925,3,502,1502,,,,,N/A
M06926,POS,1,16,6926,3,486,1486,,,,,N/A
M06927,POS,1,17,6927,3,446,1446,,,,,N/A
M06928,POS,1,16,6928,3,485,1485,,,,,N/A
M06930,POS,1,17,6930,3,424,1424,,,,,N/A
M06949,POS,1,10,6949,3,17,1017,,,,,N/A
M06956,POS,1,16,6956,3,425,1425,,,,,N/A
M06957,POS,1,17,6957,3,423,1423,,,,,N/A
M06958,POS,1,17,6958,3,401,1401,,,,,N/A
M06965,POS,1,13,6965,3,134,1134,,,,,N/A
M06970,POS,1,13,6970,3,160,1160,,,,,N/A
M06973,POS,1,13,6973,3,135,1135,,,,,N/A
M06988,POS,1,13,6988,3,174,1174,,,,,N/A
M06996,POS,1,13,6996,3,146,1146,,,,,N/A
M06997,POS,1,13,6997,3,123,1123,,,,,N/A
M06998,POS,1,13,6998,3,175,1175,,,,,N/A
M06999,POS,1,13,6999,3,189,1189,,,,,N/A
