PETAL_ID,PETAL_LOC,DEVICE_LOC,DEVICE_TYPE,PINHOLE_ID,X_PTL,Y_PTL,Z_PTL,X_MNT,Y_MNT,Z_MNT,PTL_SOURCE,PROJ_DISTANCE,PROVENANCE,NOTES,X_FP,Y_FP,Z_FP,LOCATION
1,0,11,FIF,1,54.2532492,32.4057395,-0.147771,53.48369399999999,31.973511,-86.86979699999999,Measured,86.5,"DESI-4889, DESI-3543",,2.044666113105656,63.16143080856448,-0.147771,2011
1,0,11,FIF,2,54.9250612,33.1578278,-0.1711959,53.48369399999999,31.973511,-86.86979699999999,Measured,86.5,"DESI-4889, DESI-3543",,1.774787203352048,64.1330961565167,-0.1711959,2011
1,0,11,FIF,3,53.7208886,33.2472745,-0.1755869,53.48369399999999,31.973511,-86.86979699999999,Measured,86.5,"DESI-4889, DESI-3543",,1.0489031681719965,63.16814811117831,-0.1755869,2011
1,0,11,FIF,4,53.5986565,31.650736,-0.1555089,53.48369399999999,31.973511,-86.86979699999999,Measured,86.5,"DESI-4889, DESI-3543",,2.3263017065696125,62.20267991265891,-0.1555089,2011
1,0,75,FIF,1,153.084686,41.4014378,-2.559105,150.97108300000002,40.815991,-89.144407,Measured,86.5,"DESI-4889, DESI-3543",,47.87390020087126,151.18561379702396,-2.559105,2075
1,0,75,FIF,2,153.7038009,42.1841617,-2.5944851,150.97108300000002,40.815991,-89.144407,Measured,86.5,"DESI-4889, DESI-3543",,47.54976995797291,152.1294885496643,-2.5944851,2075
1,0,75,FIF,3,152.4612553,40.6199186,-2.5315929,150.97108300000002,40.815991,-89.144407,Measured,86.5,"DESI-4889, DESI-3543",,48.19468488698256,150.23875832609525,-2.5315929,2075
1,0,75,FIF,4,153.657487,40.5841749,-2.5747098,150.97108300000002,40.815991,-89.144407,Measured,86.5,"DESI-4889, DESI-3543",,48.8710889192848,151.22604018922243,-2.5747098,2075
1,0,150,FIF,1,241.6827966,14.2666574,-6.3568594,237.945841,13.99438,-92.832466,Measured,86.5,"DESI-4889, DESI-3543",,118.57679403934573,211.0773687563793,-6.3568594,2150
1,0,150,FIF,2,242.6452185,14.5009639,-6.4203815,237.945841,13.99438,-92.832466,Measured,86.5,"DESI-4889, DESI-3543",,118.89963068983184,212.01381520260287,-6.4203815,2150
1,0,150,FIF,3,240.7005395,14.0332278,-6.3230384,237.945841,13.99438,-92.832466,Measured,86.5,"DESI-4889, DESI-3543",,118.2425024986557,210.12470535596987,-6.3230384,2150
1,0,150,FIF,4,241.6252064,13.269906,-6.3623305,237.945841,13.99438,-92.832466,Measured,86.5,"DESI-4889, DESI-3543",,119.38441530365698,210.4903611942727,-6.3623305,2150
1,0,239,FIF,1,215.5930695,149.7896023,-7.5697207,212.227794,147.423155,-93.973988,Measured,86.5,"DESI-4889, DESI-3543",,-9.558171581324046,262.3469800276839,-7.5697207,2239
1,0,239,FIF,2,216.4927269,150.2283682,-7.641338,212.227794,147.423155,-93.973988,Measured,86.5,"DESI-4889, DESI-3543",,-9.44129338758583,263.3410818535579,-7.641338,2239
1,0,239,FIF,3,214.9218656,150.5292619,-7.5797783,212.227794,147.423155,-93.973988,Measured,86.5,"DESI-4889, DESI-3543",,-10.543226688236345,262.1818212083815,-7.5797783,2239
1,0,239,FIF,4,216.2668842,149.049793,-7.5923559,212.227794,147.423155,-93.973988,Measured,86.5,"DESI-4889, DESI-3543",,-8.571579884945166,262.5142548761782,-7.5923559,2239
1,0,321,FIF,1,304.1803303,86.4953055,-11.1068799,298.92245299999996,84.884141,-97.372639,Measured,86.5,"DESI-4889, DESI-3543",,91.56604396047751,302.6925351051514,-11.1068799,2321
1,0,321,FIF,2,304.6529197,87.3304147,-11.174395,298.92245299999996,84.884141,-97.372639,Measured,86.5,"DESI-4889, DESI-3543",,91.11866494208022,303.5414167993909,-11.174395,2321
1,0,321,FIF,3,303.4675374,87.1456527,-11.0799294,298.92245299999996,84.884141,-97.372639,Measured,86.5,"DESI-4889, DESI-3543",,90.63367201415002,302.4441246533993,-11.0799294,2321
1,0,321,FIF,4,303.7163243,85.5662058,-11.0647192,298.92245299999996,84.884141,-97.372639,Measured,86.5,"DESI-4889, DESI-3543",,92.09715088828459,301.80009280908325,-11.0647192,2321
1,0,439,FIF,1,409.3786923,14.2419912,-19.0513896,400.512233,13.880019,-104.91778899999998,Measured,86.5,"DESI-4889, DESI-3543",,209.2040290622843,352.1752720545636,-19.0513896,2439
1,0,439,FIF,2,410.2338241,13.728736,-19.1630771,400.512233,13.880019,-104.91778899999998,Measured,86.5,"DESI-4889, DESI-3543",,210.09794810424722,352.61752768439135,-19.1630771,2439
1,0,439,FIF,3,408.526105,14.7544052,-18.9764364,400.512233,13.880019,-104.91778899999998,Measured,86.5,"DESI-4889, DESI-3543",,208.31219266493102,351.734703045357,-18.9764364,2439
1,0,439,FIF,4,408.6545302,13.5625641,-18.984347,400.512233,13.880019,-104.91778899999998,Measured,86.5,"DESI-4889, DESI-3543",,209.38448080077413,351.19881463031675,-18.984347,2439
1,0,482,FIF,1,404.1262926,59.3549962,-18.8778481,395.41075,58.013261,-104.807439,Measured,86.5,"DESI-4889, DESI-3543",,168.40486064803957,372.1301907325408,-18.8778481,2482
1,0,482,FIF,2,405.003132,59.8246997,-19.041782,395.41075,58.013261,-104.807439,Measured,86.5,"DESI-4889, DESI-3543",,168.48337713102293,373.12180753010153,-19.041782,2482
1,0,482,FIF,3,403.9226974,60.3327958,-18.8906269,395.41075,58.013261,-104.807439,Measured,86.5,"DESI-4889, DESI-3543",,167.47206769965914,372.4871786576516,-18.8906269,2482
