# Focal surface lookup table,,,
# Extracted from DESI-0530-v17,,,
# 2020-04-09,,,
# Corresponds to https://desi.lbl.gov/trac/browser/code/focalplane/plate_control/trunk/petal/focal_surface_lookup.csv?rev=131350 ,,,
# Columns:  R, Z5,  S,   N
# Units:   mm, mm, mm, deg
R,Z,S,N
170,-3.079846,170.037934,1.591782
171,-3.117575,171.038646,1.602404
172,-3.155544,172.039366,1.613051
173,-3.193753,173.040096,1.623724
174,-3.232201,174.040835,1.634424
175,-3.27089,175.041583,1.64515
176,-3.309817,176.04234,1.655903
177,-3.348984,177.043107,1.666684
178,-3.388391,178.043883,1.677492
179,-3.428036,179.044669,1.688328
180,-3.467921,180.045464,1.699192
181,-3.508044,181.046269,1.710085
182,-3.548407,182.047083,1.721007
183,-3.589008,183.047907,1.731957
184,-3.629848,184.04874,1.742937
185,-3.670926,185.049584,1.753947
186,-3.712242,186.050437,1.764987
187,-3.753796,187.0513,1.776057
188,-3.795589,188.052173,1.787158
189,-3.837619,189.053056,1.798291
190,-3.879886,190.053948,1.809454
191,-3.922391,191.054851,1.82065
192,-3.965133,192.055764,1.831877
193,-4.008112,193.056688,1.843138
194,-4.051328,194.057621,1.854431
195,-4.09478,195.058564,1.865757
196,-4.138468,196.059518,1.877117
197,-4.182393,197.060483,1.888512
198,-4.226553,198.061457,1.89994
199,-4.270949,199.062442,1.911404
200,-4.315581,200.063438,1.922902
201,-4.360447,201.064444,1.934435
202,-4.405549,202.06546,1.946003
203,-4.450885,203.066487,1.957607
204,-4.496455,204.067525,1.969246
205,-4.54226,205.068574,1.980921
206,-4.588298,206.069633,1.992631
207,-4.63457,207.070703,2.004378
208,-4.681075,208.071784,2.016161
209,-4.727814,209.072875,2.027981
210,-4.774785,210.073978,2.039838
211,-4.821988,211.075091,2.051732
212,-4.869424,212.076216,2.063663
213,-4.917091,213.077351,2.075633
214,-4.964991,214.078498,2.08764
215,-5.013121,215.079655,2.099686
216,-5.061482,216.080824,2.11177
217,-5.110075,217.082004,2.123893
218,-5.158897,218.083195,2.136056
219,-5.20795,219.084397,2.148259
220,-5.257233,220.085611,2.160501
221,-5.306745,221.086836,2.172785
222,-5.356486,222.088072,2.185109
223,-5.406456,223.08932,2.197475
224,-5.456655,224.090579,2.209882
225,-5.507082,225.09185,2.222332
226,-5.557737,226.093132,2.234824
227,-5.60862,227.094426,2.24736
228,-5.65973,228.095731,2.259939
229,-5.711068,229.097048,2.272563
230,-5.762632,230.098377,2.285231
231,-5.814423,231.099717,2.297945
232,-5.86644,232.101069,2.310705
233,-5.918683,233.102432,2.323511
234,-5.971151,234.103808,2.336363
235,-6.023845,235.105195,2.349264
236,-6.076764,236.106595,2.362213
237,-6.129908,237.108006,2.37521
238,-6.183276,238.109429,2.388257
239,-6.236869,239.110864,2.401354
240,-6.290685,240.112311,2.414501
241,-6.344725,241.11377,2.427698
242,-6.398989,242.115241,2.440945
243,-6.453476,243.116725,2.454244
244,-6.508186,244.11822,2.467593
245,-6.563118,245.119728,2.480994
246,-6.618273,246.121248,2.494446
247,-6.67365,247.12278,2.50795
248,-6.729249,248.124324,2.521507
249,-6.785071,249.125881,2.535116
250,-6.841113,250.12745,2.548779
251,-6.897377,251.129032,2.562495
252,-6.953862,252.130626,2.576266
253,-7.010568,253.132232,2.59009
254,-7.067495,254.133851,2.60397
255,-7.124643,255.135483,2.617905
256,-7.182011,256.137127,2.631896
257,-7.2396,257.138784,2.645943
258,-7.297408,258.140453,2.660048
259,-7.355437,259.142136,2.67421
260,-7.413686,260.143831,2.68843
261,-7.472154,261.145538,2.702709
262,-7.530842,262.147259,2.717047
263,-7.58975,263.148993,2.731445
264,-7.648877,264.150739,2.745904
265,-7.708224,265.152499,2.760424
266,-7.767791,266.154271,2.775005
267,-7.827576,267.156057,2.78965
268,-7.887581,268.157855,2.804358
269,-7.947806,269.159667,2.81913
270,-8.00825,270.161492,2.833967
271,-8.068913,271.163331,2.848869
272,-8.129796,272.165182,2.863838
273,-8.190898,273.167047,2.878874
274,-8.252219,274.168926,2.893978
275,-8.31376,275.170818,2.909151
276,-8.375521,276.172723,2.924394
277,-8.437501,277.174642,2.939707
278,-8.499702,278.176574,2.955092
279,-8.562122,279.178521,2.970549
280,-8.624762,280.180481,2.986079
281,-8.687623,281.182454,3.001683
282,-8.750704,282.184442,3.01736
283,-8.814006,283.186444,3.033111
284,-8.877529,284.188459,3.048937
285,-8.941273,285.190489,3.064838
286,-9.005239,286.192533,3.080815
287,-9.069426,287.19459,3.096868
288,-9.133835,288.196663,3.112998
289,-9.198466,289.198749,3.129205
290,-9.26332,290.20085,3.145491
291,-9.328397,291.202965,3.161854
292,-9.393697,292.205095,3.178297
293,-9.45922,293.207239,3.19482
294,-9.524968,294.209398,3.211422
295,-9.590941,295.211572,3.228106
296,-9.657138,296.213761,3.244872
297,-9.723561,297.215964,3.261719
298,-9.79021,298.218183,3.27865
299,-9.857085,299.220416,3.295664
300,-9.924187,300.222665,3.312762
301,-9.991516,301.224929,3.329945
302,-10.059074,302.227209,3.347214
303,-10.12686,303.229504,3.36457
304,-10.194876,304.231814,3.382012
305,-10.263121,305.23414,3.399542
306,-10.331597,306.236482,3.41716
307,-10.400304,307.238839,3.434867
308,-10.469243,308.241213,3.452665
309,-10.538415,309.243602,3.470553
310,-10.60782,310.246008,3.488532
311,-10.67746,311.24843,3.506603
312,-10.747334,312.250868,3.524767
313,-10.817444,313.253323,3.543025
314,-10.887791,314.255794,3.561377
315,-10.958375,315.258282,3.579823
316,-11.029197,316.260787,3.598366
317,-11.100259,317.263309,3.617005
318,-11.17156,318.265847,3.635741
319,-11.243103,319.268403,3.654575
320,-11.314888,320.270976,3.673507
321,-11.386915,321.273567,3.692539
322,-11.459187,322.276175,3.711672
323,-11.531704,323.278801,3.730908
324,-11.604467,324.281445,3.750248
325,-11.677477,325.284107,3.769693
326,-11.750735,326.286786,3.789246
327,-11.824243,327.289484,3.808908
328,-11.898001,328.292201,3.82868
329,-11.97201,329.294936,3.848565
330,-12.046273,330.297689,3.868562
331,-12.120789,331.300462,3.888675
332,-12.195561,332.303253,3.908904
333,-12.270589,333.306064,3.929251
334,-12.345874,334.308894,3.949717
335,-12.421419,335.311744,3.970304
336,-12.497224,336.314613,3.991013
337,-12.57329,337.317501,4.011845
338,-12.649619,338.32041,4.032802
339,-12.726212,339.323339,4.053885
340,-12.803071,340.326289,4.075095
341,-12.880197,341.329258,4.096434
342,-12.95759,342.332249,4.117903
343,-13.035254,343.33526,4.139502
344,-13.113188,344.338292,4.161234
345,-13.191395,345.341346,4.183098
346,-13.269876,346.344421,4.205097
347,-13.348632,347.347517,4.227231
348,-13.427665,348.350635,4.249502
349,-13.506977,349.353776,4.271909
350,-13.586567,350.356938,4.294455
351,-13.66644,351.360123,4.317139
352,-13.746594,352.36333,4.339963
353,-13.827033,353.36656,4.362928
354,-13.907758,354.369813,4.386033
355,-13.98877,355.373089,4.409281
356,-14.070071,356.376389,4.43267
357,-14.151662,357.379712,4.456203
358,-14.233545,358.383058,4.479879
359,-14.315721,359.386429,4.503698
360,-14.398191,360.389824,4.527662
361,-14.480959,361.393243,4.55177
362,-14.564024,362.396687,4.576023
363,-14.647388,363.400156,4.60042
364,-14.731053,364.40365,4.624964
365,-14.815021,365.407169,4.649659
366,-14.899292,366.410714,4.674507
367,-14.983869,367.414284,4.699511
368,-15.068753,368.41788,4.724676
369,-15.153945,369.421502,4.750003
370,-15.239447,370.425151,4.775495
371,-15.32526,371.428826,4.801157
372,-15.411386,372.432528,4.826989
373,-15.497826,373.436257,4.852995
374,-15.584581,374.440013,4.879178
375,-15.671653,375.443797,4.90554
376,-15.759043,376.447608,4.932082
377,-15.846752,377.451447,4.958809
378,-15.934783,378.455314,4.98572
379,-16.023135,379.45921,5.01282
380,-16.11181,380.463134,5.040109
381,-16.20081,381.467087,5.067589
382,-16.290136,382.471068,5.095262
383,-16.379788,383.475079,5.12313
384,-16.469768,384.479119,5.151193
385,-16.560077,385.483189,5.179454
386,-16.650716,386.487288,5.207913
387,-16.741686,387.491417,5.236572
388,-16.832987,388.495576,5.265431
389,-16.924621,389.499766,5.294491
390,-17.016589,390.503986,5.323752
391,-17.10889,391.508237,5.353216
392,-17.201527,392.512519,5.382882
393,-17.294499,393.516831,5.412751
394,-17.387807,394.521175,5.442822
395,-17.481451,395.52555,5.473096
396,-17.575433,396.529957,5.503571
397,-17.669752,397.534395,5.534248
398,-17.764408,398.538865,5.565126
399,-17.859403,399.543366,5.596204
400,-17.954735,400.5479,5.627481
401,-18.050405,401.552466,5.658956
402,-18.146414,402.557065,5.690627
403,-18.24276,403.561695,5.722492
404,-18.339443,404.566358,5.754551
405,-18.436464,405.571054,5.7868
406,-18.533822,406.575782,5.819238
407,-18.631516,407.580542,5.851863
408,-18.729546,408.585336,5.884671
409,-18.82791,409.590162,5.91766
410,-18.926609,410.595021,5.950827
411,-19.02564,411.599913,5.984168
412,-19.125003,412.604837,6.01768
413,-19.224697,413.609794,6.05136
414,-19.32472,414.614784,6.085202
415,-19.425071,415.619807,6.119204
416,-19.525748,416.624862,6.15336
417,-19.626749,417.629949,6.187666
418,-19.728072,418.635069,6.222116
419,-19.829715,419.640222,6.256706
420,-19.931676,420.645406,6.29143
421,-20.03414777,421.6506958,6.333693156
422,-20.13675453,422.6559591,6.369793329
423,-20.23967291,423.6612557,6.406122788
424,-20.34290007,424.6665854,6.442681789
425,-20.44643298,425.6719481,6.479470521
426,-20.55026842,426.6773437,6.516489103
427,-20.65440299,427.6827721,6.553737579
428,-20.75883309,428.688233,6.591215918
429,-20.86355493,429.6937265,6.628924009
430,-20.9685645,430.6992521,6.66686166
431,-21.0738576,431.7048098,6.705028595
432,-21.17942979,432.7103993,6.74342445
433,-21.28527643,433.7160203,6.782048772
434,-21.39139264,434.7216727,6.820901015
435,-21.49777331,435.727356,6.859980536
436,-21.6044131,436.73307,6.899286593
437,-21.71130642,437.7388144,6.938818342
438,-21.81844742,438.7445887,6.978574834
439,-21.92583,439.7503927,7.018555011
440,-22.0334478,440.7562259,7.058757702
441,-22.14129419,441.7620879,7.09918162
442,-22.24936225,442.7679782,7.139825362
443,-22.35764479,443.7738963,7.180687399
444,-22.46613434,444.7798418,7.221766077
445,-22.5748231,445.7858142,7.263059613
446,-22.683703,446.7918127,7.304566089
447,-22.79276564,447.797837,7.34628345
448,-22.90200231,448.8038862,7.388209499
449,-23.01140396,449.8099598,7.430341895
450,-23.12096125,450.8160572,7.472678145
451,-23.23066444,451.8221775,7.515215605
452,-23.34050348,452.8283201,7.557951471
453,-23.45046795,453.834484,7.600882778
454,-23.56054709,454.8406687,7.644006393
455,-23.67072974,455.8468731,7.687319015
456,-23.78100436,456.8530964,7.730817163
457,-23.89135905,457.8593376,7.77449718
458,-24.00178149,458.8655959,7.818355221
459,-24.11225896,459.8718701,7.862387252
460,-24.22277832,460.8781592,7.906589045
461,-24.33332603,461.8844623,7.950956172
462,-24.4438881,462.890778,7.995484
463,-24.5544501,463.8971053,8.040167687
464,-24.66499716,464.9034429,8.085002174
465,-24.77551394,465.9097895,8.129982184
466,-24.88598465,466.9161439,8.175102211
467,-24.996393,467.9225048,8.220356522
468,-25.10672223,468.9288706,8.265739142
469,-25.21695507,469.9352399,8.311243857
470,-25.32707376,470.9416113,8.356864201
471,-25.43706001,471.9479831,8.402593458
472,-25.546895,472.9543538,8.448424647
473,-25.65655938,473.9607217,8.494350523
474,-25.76603326,474.9670851,8.540363567
475,-25.87529616,475.9734421,8.586455981
476,-25.98432707,476.979791,8.632619681
477,-26.09310437,477.9861299,8.678846292
478,-26.20160587,478.9924568,8.72512714
479,-26.30980875,479.9987697,8.771453242
