PETAL_ID,PETAL_LOC,DEVICE_LOC,DEVICE_TYPE,PINHOLE_ID,X_PTL,Y_PTL,Z_PTL,X_MNT,Y_MNT,Z_MNT,PTL_SOURCE,PROJ_DISTANCE,PROVENANCE,NOTES,X_FP,Y_FP,Z_FP,LOCATION
3,3,,GFA,1,348.76444805487927,210.07005017983633,-20.952542536599914,,,,Calculated,,DESI-5784,GFA 02,348.70679491687133,210.11786897613584,-20.952542536599914,
3,3,,GFA,2,330.6341880103817,234.8539908374583,-20.767164722593968,,,,Calculated,,DESI-5784,GFA 02,330.57130343607133,234.89798181993584,-20.767164722593968,
3,3,,GFA,3,318.2116618820145,225.75782984628623,-19.332358573025797,,,,Calculated,,DESI-5784,GFA 02,318.1506977658713,225.79919866103583,-19.332358573025797,
3,3,,GFA,4,336.34192192651204,200.9738891886643,-19.51773638703174,,,,Calculated,,DESI-5784,GFA 02,336.2861892466713,201.01908581723583,-19.51773638703174,
2,7,,GFA,1,349.04407428852346,209.67266701045628,-20.952542536599914,,,,Calculated,,DESI-5784,GFA 01,-405.57235990722916,35.467512906826826,-20.952542536599914,
2,7,,GFA,2,331.0072885205292,234.52761740955359,-20.767164722593968,,,,Calculated,,DESI-5784,GFA 01,-405.59409638612914,4.7576817821268245,-20.767164722593968,
2,7,,GFA,3,318.55006408375885,225.47668385675718,-19.332358573025797,,,,Calculated,,DESI-5784,GFA 01,-390.19598498552915,4.755647103626824,-19.332358573025797,
2,7,,GFA,4,336.58684985175313,200.62173345765987,-19.51773638703174,,,,Calculated,,DESI-5784,GFA 01,-390.17424850662917,35.46547822832682,-19.51773638703174,
