ADC1,ADC2,X_TAN,Y_TAN,X_FP,Y_FP,Z_FP,WAVELENGTH
-0.0,0.0,0.0,0.0,0.006861201137338742,-2.8395771184144165e-20,-1.7683109926683017e-08,4860.0
-0.0,0.0,0.0017453283658983088,0.0,24.30457983891865,6.195440985631454e-20,-0.059435510941789026,4860.0
-0.0,0.0,0.0010881944370323639,0.0013645526637037788,15.15623619521991,18.996708175471394,-0.05942279277805697,4860.0
-0.0,0.0,-0.0003883720980401396,0.0017015693398369522,-5.399876990918302,23.688484997615095,-0.05939422633306904,4860.0
-0.0,0.0,-0.0015724865219413782,0.000757269597383896,-21.88457147640843,10.542359535127398,-0.059371328823868134,4860.0
-0.0,0.0,-0.0015724865219413785,-0.0007572695973838957,-21.884571476408425,-10.542359535127396,-0.05937132882386812,4860.0
-0.0,0.0,-0.00038837209804014,-0.0017015693398369522,-5.399876990918331,-23.68848499761509,-0.05939422633306906,4860.0
-0.0,0.0,0.0010881944370323634,-0.001364552663703779,15.156236195219904,-18.996708175471397,-0.05942279277805695,4860.0
-0.0,0.0,0.003490651415223732,0.0,48.62660557576083,5.1628674880262113e-20,-0.239118236607844,4860.0
-0.0,0.0,0.0030908183290647585,0.0016221865981818425,43.05749767963741,22.594705838852093,-0.23911030374338202,4860.0
-0.0,0.0,0.0019829160121158204,0.0028727497961879896,27.6260045690387,40.01320815545579,-0.23908832841212582,4860.0
-0.0,0.0,0.0004207515335196145,0.00346520063627553,5.867327534438366,48.26513408910529,-0.23905735757488003,4860.0
-0.0,0.0,-0.0012378020508002781,0.00326381577078702,-17.233861253342894,45.46009112963195,-0.23902449472968487,4860.0
-0.0,0.0,-0.0026127901024136277,0.0023147300454551562,-36.385365616171285,32.24071227454557,-0.23899726528877424,4860.0
-0.0,0.0,-0.0033892194290981504,0.0008353675622305723,-47.19983700396274,11.635409382505038,-0.23898189526461538,4860.0
-0.0,0.0,-0.0033892194290981513,-0.0008353675622305699,-47.19983700396274,-11.63540938250504,-0.23898189526461552,4860.0
-0.0,0.0,-0.0026127901024136295,-0.002314730045455154,-36.38536561617128,-32.24071227454556,-0.23899726528877416,4860.0
-0.0,0.0,-0.0012378020508002797,-0.0032638157707870195,-17.233861253342905,-45.460091129631934,-0.23902449472968476,4860.0
-0.0,0.0,0.0004207515335196114,-0.0034652006362755304,5.867327534438353,-48.26513408910529,-0.23905735757488003,4860.0
-0.0,0.0,0.001982916012115819,-0.0028727497961879905,27.62600456903867,-40.013208155455814,-0.23908832841212574,4860.0
-0.0,0.0,0.003090818329064757,-0.0016221865981818448,43.05749767963739,-22.594705838852107,-0.23911030374338202,4860.0
-0.0,0.0,0.0052359638314195805,0.0,72.99722517627318,1.0325734976052423e-20,-0.5431542701323262,4860.0
-0.0,0.0,0.004952264868677554,0.0017001146768368584,69.04239534230062,23.69991332252287,-0.5431484177749046,4860.0
-0.0,0.0,0.004131911165107541,0.003215995548441207,57.606481207308605,44.83154945351884,-0.5431314982001284,4860.0
-0.0,0.0,0.0028638007735905854,0.004383373401059506,39.92876262220319,61.104953950388165,-0.543105353421657,4860.0
-0.0,0.0,0.0012853531318076413,0.005075744730626857,17.924919807653637,70.75665302649394,-0.5430728267605376,4860.0
-0.0,0.0,-0.00043238246611543405,0.0052180803603365435,-6.0205709207271125,72.74075240505032,-0.5430374504493555,4860.0
-0.0,0.0,-0.0021032627147296763,0.00479495601614467,-29.31283996751593,66.84226897899914,-0.5430030597123368,4860.0
-0.0,0.0,-0.003546221812719389,0.0038522237861950883,-49.427820569109514,53.70041708505714,-0.5429733764710307,4860.0
-0.0,0.0,-0.004604892752000079,0.002492043335600557,-64.18576552149037,34.73933038572285,-0.5429516080709068,4860.0
-0.0,0.0,-0.005164552109328529,0.0008618113215572483,-71.98744688891654,12.01373064431274,-0.5429401036361164,4860.0
-0.0,0.0,-0.00516455210932853,-0.0008618113215572468,-71.98744688891655,-12.01373064431274,-0.5429401036361163,4860.0
-0.0,0.0,-0.00460489275200008,-0.0024920433356005562,-64.18576552149042,-34.739330385722845,-0.5429516080709074,4860.0
-0.0,0.0,-0.0035462218127193922,-0.0038522237861950857,-49.42782056910956,-53.70041708505712,-0.5429733764710308,4860.0
-0.0,0.0,-0.0021032627147296794,-0.0047949560161446685,-29.312839967515963,-66.84226897899912,-0.5430030597123368,4860.0
-0.0,0.0,-0.00043238246611543654,-0.0052180803603365435,-6.02057092072714,-72.7407524050503,-0.5430374504493554,4860.0
-0.0,0.0,0.001285353131807639,-0.005075744730626857,17.924919807653623,-70.75665302649395,-0.5430728267605377,4860.0
-0.0,0.0,0.002863800773590583,-0.004383373401059507,39.92876262220315,-61.10495395038817,-0.5431053534216567,4860.0
-0.0,0.0,0.004131911165107539,-0.0032159955484412084,57.606481207308576,-44.83154945351886,-0.5431314982001281,4860.0
-0.0,0.0,0.004952264868677554,-0.00170011467683686,69.04239534230062,-23.69991332252292,-0.5431484177749049,4860.0
-0.0,0.0,0.0069812602979615525,0.0,97.44081733386804,9.809448227249802e-20,-0.9776768891860512,4860.0
-0.0,0.0,0.006778397561627131,0.0016707249457710222,94.6095531794372,23.317450453085343,-0.9776724874074032,4860.0
-0.0,0.0,0.00618159899748358,0.003244353430531917,86.2803078225608,45.27975790612394,-0.9776595396843549,4860.0
-0.0,0.0,0.005225548368804406,0.00462943188665519,72.9371587097257,64.61053936754443,-0.9776388034715557,4860.0
-0.0,0.0,0.003965807863025804,0.005745464588826298,55.355578055340835,80.18635369270191,-0.9776114909019185,4860.0
