ADC1,ADC2,X_TAN,Y_TAN,X_FP,Y_FP,Z_FP,WAVELENGTH
-0.0,0.0,0.0,0.0,0.006937219353540575,2.0651469952104845e-20,-1.9760253664395552e-08,6560.0
-0.0,0.0,0.0017453283658983088,0.0,24.306463887289887,6.711727734434075e-20,-0.05944474441360966,6560.0
-0.0,0.0,0.0010881944370323639,0.0013645526637037788,15.157439609092952,18.998121895993695,-0.0594318859368209,6560.0
-0.0,0.0,-0.0003883720980401396,0.0017015693398369522,-5.400203446767265,23.690248275205274,-0.05940300426268854,6560.0
-0.0,0.0,-0.0015724865219413782,0.000757269597383896,-21.88612529016737,10.543144409089498,-0.059379854010985986,6560.0
-0.0,0.0,-0.0015724865219413785,-0.0007572695973838957,-21.886125290167367,-10.543144409089493,-0.059379854010985965,6560.0
-0.0,0.0,-0.00038837209804014,-0.0017015693398369522,-5.400203446767295,-23.690248275205274,-0.05940300426268858,6560.0
-0.0,0.0,0.0010881944370323634,-0.001364552663703779,15.157439609092954,-18.99812189599369,-0.0594318859368209,6560.0
-0.0,0.0,0.003490651415223732,0.0,48.63013741402848,-5.1628674880262113e-20,-0.23915320547215876,6560.0
-0.0,0.0,0.0030908183290647585,0.0016221865981818425,43.060633863563254,22.596311958253473,-0.2391451880192339,6560.0
-0.0,0.0,0.0019829160121158204,0.0028727497961879896,27.62804416513302,40.0160529552453,-0.2391229783273779,6560.0
-0.0,0.0,0.0004207515335196145,0.00346520063627553,5.8678202596661775,48.26856643174436,-0.23909167710366447,6560.0
-0.0,0.0,-0.0012378020508002781,0.00326381577078702,-17.235011689194426,45.463324852771166,-0.2390584635722788,6560.0
-0.0,0.0,-0.0026127901024136277,0.0023147300454551562,-36.387878938441546,32.243006165542354,-0.23903094346999762,6560.0
-0.0,0.0,-0.0033892194290981504,0.0008353675622305723,-47.2031201858463,11.636237331883017,-0.2390154093420851,6560.0
-0.0,0.0,-0.0033892194290981513,-0.0008353675622305699,-47.20312018584631,-11.636237331883017,-0.23901540934208518,6560.0
-0.0,0.0,-0.0026127901024136295,-0.002314730045455154,-36.387878938441546,-32.24300616554233,-0.23903094346999762,6560.0
-0.0,0.0,-0.0012378020508002797,-0.0032638157707870195,-17.235011689194444,-45.46332485277115,-0.23905846357227883,6560.0
-0.0,0.0,0.0004207515335196114,-0.0034652006362755304,5.867820259666174,-48.26856643174437,-0.23909167710366452,6560.0
-0.0,0.0,0.001982916012115819,-0.0028727497961879905,27.62804416513299,-40.016052955245314,-0.23912297832737794,6560.0
-0.0,0.0,0.003090818329064757,-0.0016221865981818448,43.06063386356324,-22.596311958253498,-0.2391451880192339,6560.0
-0.0,0.0,0.0052359638314195805,0.0,73.00209268075703,1.1874595222460288e-19,-0.5432277062977062,6560.0
-0.0,0.0,0.004952264868677554,0.0017001146768368584,69.04700344733132,23.7014692196103,-0.5432217949913032,6560.0
-0.0,0.0,0.004131911165107541,0.003215995548441207,57.610339080230546,44.83449306036518,-0.543204704971478,6560.0
-0.0,0.0,0.0028638007735905854,0.004383373401059506,39.93146035928233,61.108966941389156,-0.5431782967581328,6560.0
-0.0,0.0,0.0012853531318076413,0.005075744730626857,17.926172783335684,70.76130115471835,-0.543145442262629,6560.0
-0.0,0.0,-0.00043238246611543405,0.0052180803603365435,-6.020891094424625,72.74553229688775,-0.5431097092757415,6560.0
-0.0,0.0,-0.0021032627147296763,0.00479495601614467,-29.314691275524314,66.84666254643176,-0.5430749716807741,6560.0
-0.0,0.0,-0.003546221812719389,0.0038522237861950883,-49.43099486353268,53.703947716313806,-0.5430449889663934,6560.0
-0.0,0.0,-0.004604892752000079,0.002492043335600557,-64.18991088396125,34.74161480476007,-0.5430230008906265,6560.0
-0.0,0.0,-0.005164552109328529,0.0008618113215572483,-71.99210574319295,12.014520730184376,-0.5430113803401521,6560.0
-0.0,0.0,-0.00516455210932853,-0.0008618113215572468,-71.99210574319294,-12.014520730184374,-0.5430113803401522,6560.0
-0.0,0.0,-0.00460489275200008,-0.0024920433356005562,-64.18991088396126,-34.741614804760054,-0.5430230008906269,6560.0
-0.0,0.0,-0.0035462218127193922,-0.0038522237861950857,-49.43099486353274,-53.70394771631376,-0.5430449889663935,6560.0
-0.0,0.0,-0.0021032627147296794,-0.0047949560161446685,-29.31469127552434,-66.84666254643173,-0.5430749716807741,6560.0
-0.0,0.0,-0.00043238246611543654,-0.0052180803603365435,-6.020891094424664,-72.74553229688773,-0.5431097092757414,6560.0
-0.0,0.0,0.001285353131807639,-0.005075744730626857,17.92617278333567,-70.76130115471837,-0.5431454422626291,6560.0
-0.0,0.0,0.002863800773590583,-0.004383373401059507,39.93146035928231,-61.10896694138916,-0.5431782967581326,6560.0
-0.0,0.0,0.004131911165107539,-0.0032159955484412084,57.610339080230496,-44.83449306036519,-0.5432047049714773,6560.0
-0.0,0.0,0.004952264868677554,-0.00170011467683686,69.04700344733132,-23.701469219610352,-0.5432217949913033,6560.0
-0.0,0.0,0.0069812602979615525,0.0,97.44657098488516,-3.614007241618348e-20,-0.9777948769613047,6560.0
-0.0,0.0,0.006778397561627131,0.0016707249457710222,94.61514206222856,23.31880928507386,-0.9777904342818243,6560.0
-0.0,0.0,0.00618159899748358,0.003244353430531917,86.28541190048766,45.28239690741202,-0.9777773662401821,6560.0
-0.0,0.0,0.005225548368804406,0.00462943188665519,72.94148591094392,64.61430571369931,-0.9777564373026618,6560.0
-0.0,0.0,0.003965807863025804,0.005745464588826298,55.358881160897184,80.19102915412238,-0.9777288708298267,6560.0
