  672      ,  rays DESI-ADC.RAY                      672 rays  = 8 wavels * 84/pupil   double retro
    X0     ,  Y0       , Z0     ,  U0east  , V0south , @wave  , Xgoal   , Ygoal  , XfEast  ,  YfSouth  ,  notes ,  
      0.000,   1510.400, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,    0.007,     -0.009, OK26   ,
   -390.920,   1458.934, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,    0.009,     -0.009, OK26   ,
   -755.200,   1308.045, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,    0.011,     -0.008, OK26   ,
  -1068.014,   1068.014, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,    0.013,     -0.006, OK26   ,
  -1308.045,    755.200, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,    0.014,     -0.004, OK26   ,
  -1458.934,    390.920, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,    0.015,     -0.002, OK26   ,
  -1510.400,      0.000, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,    0.016,      0.000, OK26   ,
  -1458.934,   -390.920, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,    0.015,      0.002, OK26   ,
  -1308.045,   -755.200, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,    0.014,      0.004, OK26   ,
  -1068.014,  -1068.014, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,    0.013,      0.006, OK26   ,
   -755.200,  -1308.045, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,    0.011,      0.008, OK26   ,
   -390.920,  -1458.934, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,    0.009,      0.009, OK26   ,
     -0.000,  -1510.400, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,    0.007,      0.009, OK26   ,
    390.920,  -1458.934, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,    0.005,      0.009, OK26   ,
    755.200,  -1308.045, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,    0.002,      0.008, OK26   ,
   1068.014,  -1068.014, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,    0.000,      0.007, OK26   ,
   1308.045,   -755.200, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,   -0.001,      0.005, OK26   ,
   1458.934,   -390.920, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,   -0.003,      0.003, OK26   ,
   1877.657,    197.350, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,   -0.028,     -0.004, OK26   ,
   1795.595,    583.424, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,   -0.027,     -0.011, OK26   ,
   1635.056,    944.000, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,   -0.024,     -0.018, OK26   ,
   1403.057,   1263.319, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,   -0.019,     -0.023, OK26   ,
   1109.739,   1527.424, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,   -0.014,     -0.028, OK26   ,
    767.919,   1724.774, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,   -0.007,     -0.032, OK26   ,
    392.537,   1846.743, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,   -0.000,     -0.034, OK26   ,
      0.000,   1888.000, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,    0.007,     -0.034, OK26   ,
   -392.537,   1846.743, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,    0.014,     -0.033, OK26   ,
   -767.919,   1724.774, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,    0.021,     -0.031, OK26   ,
  -1109.739,   1527.424, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,    0.026,     -0.027, OK26   ,
  -1403.057,   1263.319, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,    0.032,     -0.022, OK26   ,
  -1635.056,    944.000, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,    0.035,     -0.017, OK26   ,
  -1795.595,    583.424, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,    0.038,     -0.010, OK26   ,
  -1877.657,    197.350, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,    0.040,     -0.003, OK26   ,
  -1877.657,   -197.350, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,    0.040,      0.003, OK26   ,
  -1795.595,   -583.424, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,    0.038,      0.010, OK26   ,
  -1635.056,   -944.000, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,    0.035,      0.017, OK26   ,
  -1403.057,  -1263.319, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,    0.032,      0.022, OK26   ,
  -1109.739,  -1527.424, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,    0.026,      0.027, OK26   ,
   -767.919,  -1724.774, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,    0.021,      0.031, OK26   ,
   -392.537,  -1846.743, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,    0.014,      0.033, OK26   ,
     -0.000,  -1888.000, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,    0.007,      0.034, OK26   ,
    392.537,  -1846.743, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,   -0.000,      0.034, OK26   ,
    767.919,  -1724.774, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,   -0.007,      0.032, OK26   ,
   1109.739,  -1527.424, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,   -0.014,      0.028, OK26   ,
   1403.057,  -1263.319, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,   -0.019,      0.023, OK26   ,
   1635.056,   -944.000, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,   -0.024,      0.018, OK26   ,
   1795.595,   -583.424, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,   -0.027,      0.011, OK26   ,
   1877.657,   -197.350, 11000  ,  0.      ,   0     ,   i    ,   0.0069,   0.000,   -0.028,      0.004, OK26   ,
 755       , 0         , 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,    0.015,      0.000, OK26   ,
    654.022,    377.600, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,    0.014,      0.004, OK26   ,
    377.600,    654.022, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,    0.011,      0.006, OK26   ,
      0.000,    755.200, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,    0.007,      0.007, OK26   ,
   -377.600,    654.022, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,    0.004,      0.006, OK26   ,
   -654.022,    377.600, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,    0.001,      0.004, OK26   ,
   -755.200,      0.000, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,   -0.000,      0.000, OK26   ,
   -654.022,   -377.600, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,    0.001,     -0.004, OK26   ,
   -377.600,   -654.022, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,    0.004,     -0.006, OK26   ,
     -0.000,   -755.200, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,    0.007,     -0.007, OK26   ,
    377.600,   -654.022, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,    0.011,     -0.006, OK26   ,
    654.022,   -377.600, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,    0.014,     -0.004, OK26   ,
   1115.590,    196.709, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,    0.021,      0.002, OK26   ,
    981.034,    566.400, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,    0.019,      0.007, OK26   ,
    728.150,    867.775, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,    0.016,      0.011, OK26   ,
    387.440,   1064.484, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,    0.012,      0.013, OK26   ,
      0.000,   1132.800, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,    0.007,      0.014, OK26   ,
   -387.440,   1064.484, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,    0.002,      0.013, OK26   ,
   -728.150,    867.775, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,   -0.002,      0.011, OK26   ,
   -981.034,    566.400, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,   -0.005,      0.007, OK26   ,
  -1115.590,    196.709, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,   -0.007,      0.003, OK26   ,
  -1115.590,   -196.709, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,   -0.007,     -0.003, OK26   ,
   -981.034,   -566.400, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,   -0.005,     -0.007, OK26   ,
   -728.150,   -867.775, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,   -0.002,     -0.011, OK26   ,
   -387.440,  -1064.484, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,    0.002,     -0.013, OK26   ,
     -0.000,  -1132.800, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,    0.007,     -0.014, OK26   ,
    387.440,  -1064.484, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,    0.012,     -0.013, OK26   ,
    728.150,   -867.775, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,    0.016,     -0.011, OK26   ,
    981.034,   -566.400, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,    0.019,     -0.007, OK26   ,
   1115.590,   -196.709, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,    0.021,     -0.002, OK26   ,
   1510.400,      0.000, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,    0.021,      0.000, OK26   ,
   1458.934,    390.920, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,    0.021,      0.004, OK26   ,
   1308.045,    755.200, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,    0.019,      0.007, OK26   ,
   1068.014,   1068.014, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,    0.017,      0.010, OK26   ,
    755.200,   1308.045, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,    0.014,      0.012, OK26   ,
    390.920,   1458.934, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,    0.011,      0.014, OK26   ,
      0.000,   1510.400, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,    0.007,      0.014, OK26   ,
   -390.920,   1458.934, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,    0.003,      0.014, OK26   ,
   -755.200,   1308.045, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,   -0.000,      0.013, OK26   ,
  -1068.014,   1068.014, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,   -0.003,      0.011, OK26   ,
  -1308.045,    755.200, 11000  ,  0.      ,   0     ,   g    ,   0.0069,   0.000,   -0.006,      0.008, OK26   ,
