  672  ,   rays      DESI-ADC-2.RAY    672 rays = 8 wavels, 84 pupil locations
 X0        , Y0        , Z0    ,U0east ,V0south ,@wave , Xgoal  ,  Ygoal ,XfEast ,YfSouth ,notes ,
 1068.014  , -1068.014 , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.015, -0.0081, OK26 ,
 1308.045  , -755.200  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.017, -0.0057, OK26 ,
 1458.934  , -390.920  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.018, -0.0029, OK26 ,
 1877.657  , 197.350   , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,       ,        , bak 8,
 1795.595  , 583.424   , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,       ,        , bak 8,
 1635.056  , 944.000   , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001, -0.005, -0.0068, OK26 ,
 1403.057  , 1263.319  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001, -0.003, -0.0090, OK26 ,
 1109.739  , 1527.424  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001, -0.001, -0.0107, OK26 ,
 767.919   , 1724.774  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,       ,        , bak26,
 392.537   , 1846.743  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,       ,        , bak 8,
 0.000     , 1888.000  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,       ,        , bak22,
 -392.537  , 1846.743  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.010, -0.0121, OK26 ,
 -767.919  , 1724.774  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.012, -0.0111, OK26 ,
 -1109.739 , 1527.424  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.014, -0.0096, OK26 ,
 -1403.057 , 1263.319  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.016, -0.0078, OK26 ,
 -1635.056 , 944.000   , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.017, -0.0058, OK26 ,
 -1795.595 , 583.424   , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,       ,        , bak 8,
 -1877.657 , 197.350   , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,       ,        , bak 8,
 -1877.657 , -197.350  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.018,  0.0012, OK26 ,
 -1795.595 , -583.424  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.018,  0.0036, OK26 ,
 -1635.056 , -944.000  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.017,  0.0058, OK26 ,
 -1403.057 , -1263.319 , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.016,  0.0078, OK26 ,
 -1109.739 , -1527.424 , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.014,  0.0096, OK26 ,
 -767.919  , -1724.774 , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.012,  0.0111, OK26 ,
 -392.537  , -1846.743 , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,  0.010,  0.0121, OK26 ,
 -0.000    , -1888.000 , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,       ,        , bak22,
 392.537   , -1846.743 , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,       ,        , bak 8,
 767.919   , -1724.774 , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001,       ,        , bak26,
 1109.739  , -1527.424 , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001, -0.001,  0.0107, OK26 ,
 1403.057  , -1263.319 , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001, -0.003,  0.0090, OK26 ,
 1635.056  , -944.000  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001, -0.005,  0.0068, OK26 ,
 1795.595  , -583.424  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001, -0.006,  0.0042, OK26 ,
 1877.657  , -197.350  , 11000 ,0.     ,0       ,R     ,  0.0070,  0.0001, -0.007,  0.0014, OK26 ,
 755       , 0         , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001, -0.004,  0.0000, OK26 ,
 654.022   , 377.600   , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001, -0.003, -0.0057, OK26 ,
 377.600   , 654.022   , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,  0.002, -0.0098, OK26 ,
 0.000     , 755.200   , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,       ,        , bak22,
 -377.600  , 654.022   , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,  0.013, -0.0097, OK26 ,
 -654.022  , 377.600   , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,  0.017, -0.0056, OK26 ,
 -755.200  , 0.000     , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,  0.018,  0.0000, OK26 ,
 -654.022  , -377.600  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,  0.017,  0.0056, OK26 ,
 -377.600  , -654.022  , 11000 ,0.     ,0       ,i     ,  0.0070,  0.0001,  0.013,  0.0097, OK26 ,
